,churn_0_LPIPS,churn_0_EDMCLIP,churn_0_DMDCLIP,churn_1_LPIPS,churn_1_EDMCLIP,churn_1_DMDCLIP,churn_10_LPIPS,churn_10_EDMCLIP,churn_10_DMDCLIP,churn_40_LPIPS,churn_40_EDMCLIP,churn_40_DMDCLIP,churn_5_LPIPS,churn_5_EDMCLIP,churn_5_DMDCLIP
11,0.48520544171333313,0.319091796875,0.302734375,0.5350012183189392,0.29736328125,0.302734375,0.5953434705734253,0.263916015625,0.302734375,0.6271657943725586,0.269775390625,0.302734375,0.5834282040596008,0.265380859375,0.302734375
12,0.5772202610969543,0.23876953125,0.20947265625,0.7412246465682983,0.271484375,0.20947265625,0.7747685313224792,0.265869140625,0.20947265625,0.7995718717575073,0.244873046875,0.20947265625,0.7959003448486328,0.265625,0.20947265625
13,0.37897956371307373,0.2274169921875,0.265869140625,0.5747742652893066,0.284423828125,0.265869140625,0.6363999843597412,0.286865234375,0.265869140625,0.6389474868774414,0.318359375,0.265869140625,0.6261957287788391,0.310791015625,0.265869140625
14,0.35719335079193115,0.2222900390625,0.257080078125,0.572105884552002,0.251220703125,0.257080078125,0.6887483596801758,0.260498046875,0.257080078125,0.6961153149604797,0.257568359375,0.257080078125,0.6724737286567688,0.2215576171875,0.257080078125
15,0.45980292558670044,0.224853515625,0.234130859375,0.6022827625274658,0.2052001953125,0.234130859375,0.8364331722259521,0.277587890625,0.234130859375,0.8387542366981506,0.274658203125,0.234130859375,0.8496526479721069,0.2261962890625,0.234130859375
16,0.34800204634666443,0.27099609375,0.250732421875,0.41791832447052,0.253173828125,0.250732421875,0.5825937986373901,0.2457275390625,0.250732421875,0.6631255149841309,0.255126953125,0.250732421875,0.5699843764305115,0.271484375,0.250732421875
17,0.3813338875770569,0.330322265625,0.260009765625,0.6411747932434082,0.311279296875,0.260009765625,0.7612193822860718,0.299560546875,0.260009765625,0.8131146430969238,0.3310546875,0.260009765625,0.7604649662971497,0.289794921875,0.260009765625
18,0.49390709400177,0.306640625,0.291015625,0.6295512318611145,0.273681640625,0.291015625,0.7106837630271912,0.283935546875,0.291015625,0.7296462655067444,0.28515625,0.291015625,0.7577491998672485,0.265869140625,0.291015625
19,0.5068212151527405,0.232666015625,0.314453125,0.5867562890052795,0.267822265625,0.314453125,0.6548262238502502,0.2425537109375,0.314453125,0.6600660681724548,0.2423095703125,0.314453125,0.6205618977546692,0.217041015625,0.314453125
20,0.2638951539993286,0.28125,0.276611328125,0.527280330657959,0.27001953125,0.276611328125,0.6437737941741943,0.25146484375,0.276611328125,0.7605130076408386,0.295166015625,0.276611328125,0.6686998605728149,0.264892578125,0.276611328125
21,0.491436630487442,0.218994140625,0.252197265625,0.5687305927276611,0.25244140625,0.252197265625,0.6490787267684937,0.275634765625,0.252197265625,0.6544433832168579,0.2191162109375,0.252197265625,0.6237834095954895,0.280029296875,0.252197265625
22,0.39159590005874634,0.2012939453125,0.224365234375,0.48123785853385925,0.215087890625,0.224365234375,0.60282301902771,0.264892578125,0.224365234375,0.752031683921814,0.289306640625,0.224365234375,0.6005382537841797,0.2958984375,0.224365234375
23,0.40835630893707275,0.29833984375,0.263916015625,0.4437682628631592,0.29736328125,0.263916015625,0.5123736262321472,0.283447265625,0.263916015625,0.6815400719642639,0.266357421875,0.263916015625,0.5016975402832031,0.27490234375,0.263916015625
24,0.49925437569618225,0.32177734375,0.265625,0.4876871705055237,0.28857421875,0.265625,0.6661648750305176,0.265869140625,0.265625,0.651269257068634,0.289306640625,0.265625,0.6420507431030273,0.2529296875,0.265625
